Gene	Level_1	Level_2	Level_3	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDL179w	4	43	431	-0.75808	-0.90319	-0.98935	-0.73995	-0.67193	-0.12777	-0.95307	-1.01656	0.7973	2.11688	1.98537	0.61591	0.56603	-0.13684	-0.52228	-0.05068	0.78823
YLR079w	3	32	321	-0.48845	-0.70828	-0.47688	-0.65814	-0.45374	-0.47302	-0.71214	-1.02839	0.24048	3.11376	1.28952	0.44874	0.04379	-0.31104	-0.30332	-0.34575	0.82285
YER111c	3	32	321	-0.42218	0.23887	1.84427	-0.02083	-0.61105	-0.65827	-0.79992	-0.39857	-0.09166	2.03314	1.58457	0.68744	0.14443	-0.7291	-1.46097	-0.82353	-0.51662
YBR200w	3	32	321	0.09824	0.55258	-0.89641	-1.19111	-1.11744	-0.76133	0.09824	2.1612	1.46126	1.03148	0.67537	-0.33155	-0.6017	-1.39987	-0.42978	-0.15963	0.81045
YJL194w	4	43	431	-1.29859	1.71422	-0.52745	-1.11926	-0.63505	-0.02532	-0.36605	-0.76059	1.44522	2.05496	-0.22259	0.20782	-0.36605	0.01055	-0.77852	-0.49159	1.15829
YLR274w	2	24	241	-0.40461	0.15884	-0.17072	-1.13816	-1.05311	-0.87238	-0.67039	0.25452	1.79605	2.31698	1.10502	-0.04315	-0.52155	-0.90428	-0.72355	0.05253	0.81798
YBR202w	2	24	241	-1.18187	-0.09527	-0.73766	-1.1067	-1.17503	-0.97002	0.01407	1.39452	1.30568	1.66105	0.56078	-0.47114	-0.68299	-0.75816	0.05507	1.33985	0.84781
YPR019w	2	24	241	-0.74382	-0.9365	0.03896	-0.7679	-0.65952	-0.40662	-0.35845	1.11077	1.29141	2.33913	0.91809	-1.05693	-0.79199	-0.86425	-0.14168	-0.18985	1.21915
YBL023c	2	24	241	-1.38479	-0.03287	0.70618	-0.826	-1.25861	-0.68179	0.11133	1.82377	2.22033	0.61605	0.4358	-0.23115	-0.42943	-1.16848	-0.42943	0.05726	0.47185
YEL032w	2	24	241	-0.42287	0.87044	-0.35569	-0.60763	-0.87637	-0.99394	0.1818	2.21414	1.18957	1.64307	0.04742	-0.69161	-0.69161	-1.04433	-1.1955	0.28257	0.45054
YGR044c	4	43	432	0.45129	-0.79394	-1.09481	-0.95273	-0.71037	-0.20893	-0.69366	-0.96945	-0.20058	2.00575	2.03918	1.27031	0.24236	0.02507	-0.71037	-0.41787	0.71873
YJL157c	3	32	321	-0.9523	-0.89126	-1.1158	-1.1049	-0.80405	-0.44435	-0.52937	0.45384	0.50398	2.4464	1.66812	0.11593	-0.29828	-0.22198	-0.1108	0.14645	1.13837
YKL185w	5	52	521	-0.42286	-0.71013	-0.83755	-0.71013	-0.56186	-0.54565	-0.73562	-0.4553	0.53856	3.01047	1.43049	0.17948	-0.04293	-0.40433	-0.54565	-0.10548	0.9185
YHR005c	3	32	321	-0.43229	0.35748	0.18347	-1.12836	-1.44962	-1.24883	-0.53938	0.26378	0.61182	2.00396	2.01735	0.12992	-0.60631	-0.9008	0.14331	-0.20473	0.79922
YNR001c	1	11	112	1.10066	-1.3684	-1.47664	-1.14675	-0.56943	-1.07458	-0.81685	-0.4818	0.5285	1.94086	1.41509	0.63675	0.39448	0.10067	0.10582	0.07489	0.63675
YKL150w	1	11	116	-0.55084	-1.30718	-1.67185	-0.911	-0.2537	-0.51032	-0.59586	-0.93801	0.66922	1.83975	0.95284	0.81328	0.21001	-0.41578	0.15598	1.23197	1.28149
YLR395c	1	12	121	-0.03699	-1.11599	-0.94027	-1.41503	-0.78304	-0.51175	-0.1788	-0.89711	-0.1264	1.92678	0.49634	0.38536	-0.06474	-0.3237	0.15414	1.63699	1.79422
YOR065w	1	12	121	0.35471	-1.01744	-1.51826	-1.05816	-0.81793	-0.63063	-1.15588	-0.80571	0.0982	1.56807	0.77817	0.63973	0.18778	0.13892	0.3425	1.95488	0.94104
YDL181w	5	52	500	-0.61916	-0.7923	-0.75648	-1.13261	-0.82215	-0.05198	-0.26094	-0.9535	-0.21915	2.74214	0.50326	0.37789	-0.27885	0.00176	-0.04601	0.53312	1.77495
YGR183c	1	12	121	-0.19331	-1.1316	-1.2109	-0.59858	-0.54131	-0.74395	-0.1008	0.02254	0.26923	3.06209	1.0974	-0.09199	-0.65585	-0.4444	0.67451	0.08862	0.4983
YLR258w	1	11	115	1.4351	-0.9766	-1.40105	-1.05377	-0.86083	-0.34955	-0.31097	-0.36885	-0.94766	0.58618	2.35155	1.10711	0.39325	0.72124	0.16173	-0.26273	-0.22415
YML110c	1	17	171	0.49232	0.51382	0.02277	-1.03819	-1.87334	-1.43963	-0.81596	-0.81596	0.02277	2.14828	1.49951	0.50307	-0.01307	-0.14928	0.11955	0.34536	0.47798
YCR005c	1	11	112	0.36415	-0.70828	-1.2757	-1.15087	-1.29273	-1.31542	-0.81042	0.71028	1.18692	0.74433	0.80674	1.58979	1.44226	0.34713	0.27904	-0.53238	-0.38485
YCL040w	1	11	111	1.49015	-0.68364	-1.25793	-0.99419	-0.70491	-1.08352	-1.18562	-0.76447	-0.47945	0.83504	1.53269	0.93288	0.07357	0.32456	0.2097	0.09059	1.66457
YMR256c	1	12	121	-0.56861	-1.23822	-1.54633	-1.17249	-0.35088	-0.6179	-0.45769	-0.57271	0.35571	1.69494	1.12803	-0.34266	-0.17423	0.89798	0.64738	0.4502	1.86748
YIL009w	1	13	131	-0.2117	0.6351	-0.50573	-1.07026	-1.12907	-0.88209	-1.18788	-1.16435	0.23522	1.67008	1.78769	1.15259	0.39988	-0.11761	-0.61158	-0.17642	1.17611
YLL040c	5	52	500	0.48268	0.94636	-1.93405	-1.58278	-0.83809	-0.1215	-0.37441	-0.72568	0.38433	2.14067	1.08687	0.55294	0.65129	-0.65543	-0.21985	0.32813	-0.1215
YNR016c	1	11	118	-0.75696	0.62268	1.98986	0.94034	1.82169	-0.35833	-0.45487	-0.95316	-1.19919	1.20505	0.45762	-0.09361	-1.10576	-0.55453	-0.84416	-0.24621	-0.47044
YPL058c	3	31	311	-0.74556	-1.42581	-1.35522	-1.21404	-1.13061	-0.73272	-0.14873	1.17327	1.94336	0.7818	0.48018	-0.18082	0.49943	0.04379	0.49301	0.21706	1.30162
YGL055w	1	13	134	0.15878	0.84738	2.38983	1.90629	1.00958	-0.33089	-0.82974	-1.05009	-0.95215	-0.03402	-0.22683	-0.66141	-0.75629	-0.83892	-0.35843	-0.41352	0.14042
YGR281W	3	31	311	-0.54172	-1.04313	-1.41083	-1.51112	-1.44426	-0.642	0.29396	0.0934	0.89566	1.69792	1.46393	0.59481	0.16026	-0.29102	0.26054	0.27725	1.14636
YBR083w	3	32	321	-0.93736	-0.94103	-0.73569	-0.75403	-0.5927	-0.5267	-0.75769	-0.77236	-0.1527	2.56059	1.42027	0.21396	-0.15637	-0.03537	-0.02804	0.74562	1.44961
YKL116c	6	61	611	-0.62731	-0.3731	-0.42394	-0.88153	-0.41123	-0.77984	-1.18659	-0.65274	0.83443	2.88086	1.11406	0.85985	0.08449	-0.4875	-0.39852	-0.23328	0.6819
YPR002w	1	11	119	1.43429	-0.52505	-0.44341	-0.06243	-0.57948	-0.96046	-1.01489	0.01921	1.40708	2.25068	0.99888	0.50904	0.26413	-0.76997	-0.6339	-1.0421	-0.85161
YNR067c	6	61	611	-0.57943	-0.80507	-0.97892	-0.91604	-0.67191	-0.23173	-0.64232	-0.74219	-0.12816	2.45743	2.12082	0.95564	0.27873	0.0161	-0.27612	-0.17255	0.31572
YBR158w	5	52	529	-0.92753	-0.45371	-1.18644	-1.09582	-0.58576	-0.34497	-0.1456	-0.50032	-0.20256	2.51088	2.01117	0.77873	-0.13007	-0.10159	-0.1689	-0.17149	0.714
YBR052c	1	17	171	1.35694	-0.54876	-1.15676	-1.07963	-0.90267	-1.14315	-1.05694	-0.60774	-0.18123	1.66095	0.73078	0.71264	0.1863	-0.03603	0.20445	-0.09502	1.95588
YOR066w	6	62	621	-0.17372	0.69214	-0.76126	-1.48797	-0.77673	-1.00865	-0.90042	0.63029	1.15599	1.99093	1.2333	0.72306	-0.65303	-0.88496	-0.76126	0.13552	0.84676
YKL163w	6	63	631	1.93413	0.02423	-0.94112	-0.58744	-1.45293	-1.26984	-1.04515	-1.00354	-0.64569	1.28502	1.36824	0.40288	0.46114	0.34879	0.18651	0.08249	0.85227
YLR015w	5	52	528	0.77305	2.14312	-0.77729	-1.08375	-1.42627	-0.52491	-0.11028	0.77305	1.06148	-1.11981	-1.53443	-0.32661	0.10604	0.1421	0.57475	0.77305	0.55672
